Feature,Coefficient,Abs_Coefficient,Correlation_with_Target,Abs_Correlation
snoZ196,-0.023598025505166976,0.023598025505166976,-0.1913782631361636,0.1913782631361636
VSTM2L,-0.023289930716529916,0.023289930716529916,-0.23495230670034575,0.23495230670034575
MIR3193,0.02325913472637901,0.02325913472637901,0.2307696380140177,0.2307696380140177
AL135786.1,0.022927361218280446,0.022927361218280446,0.2664110030217789,0.2664110030217789
IRX1,-0.0228303557539601,0.0228303557539601,-0.25100203823412814,0.25100203823412814
RSPH4A,0.022678478509300156,0.022678478509300156,0.18400184486106036,0.18400184486106036
MTCO2P12,0.0226024272427536,0.0226024272427536,0.20684820622291616,0.20684820622291616
ZBBX,0.02246464870595349,0.02246464870595349,0.16971922988961108,0.16971922988961108
PF4,-0.02242193942490457,0.02242193942490457,-0.25725223914030965,0.25725223914030965
AL512785.1,0.02222609104876989,0.02222609104876989,0.18653507333176458,0.18653507333176458
GSTT2B,-0.02207385654160542,0.02207385654160542,-0.19843500245699203,0.19843500245699203
RWDD2B,0.02205336430179226,0.02205336430179226,0.3651533668946896,0.3651533668946896
AC021188.1,0.02183709976163248,0.02183709976163248,0.17458686320345906,0.17458686320345906
FERMT1,0.02177925617530084,0.02177925617530084,0.19408302267157845,0.19408302267157845
FAM241B,-0.021236406628551495,0.021236406628551495,-0.19563780324079055,0.19563780324079055
AC090204.1,-0.02106723696631308,0.02106723696631308,-0.2412586787279029,0.2412586787279029
RNU6-216P,-0.02073276981322837,0.02073276981322837,-0.21014521355425397,0.21014521355425397
AC005682.1,0.02051008942261367,0.02051008942261367,0.17042666424818376,0.17042666424818376
KANSL1-AS1,-0.020478186666528567,0.020478186666528567,-0.18051052773828805,0.18051052773828805
RPL39L,-0.020385304808958022,0.020385304808958022,-0.2327509746125659,0.2327509746125659
AP006545.2,0.020249630263471437,0.020249630263471437,-0.18250862219697603,0.18250862219697603
PCDHB12,-0.019757111409051085,0.019757111409051085,-0.1704906131425356,0.1704906131425356
MIR553,-0.01947056196420661,0.01947056196420661,-0.18559240692243362,0.18559240692243362
TBX5-AS1,0.019431765258513884,0.019431765258513884,-0.21391207931911804,0.21391207931911804
MIR5690,-0.019143567230212537,0.019143567230212537,-0.18913723156043302,0.18913723156043302
PTPRN,0.019084441890601628,0.019084441890601628,-0.18677410723055415,0.18677410723055415
HGD,0.018805625167645307,0.018805625167645307,0.1748981932903445,0.1748981932903445
MTCO2P2,0.01875789674880712,0.01875789674880712,0.17264456977456227,0.17264456977456227
IQCN,0.018415409515193607,0.018415409515193607,0.18568064899280712,0.18568064899280712
MUC20P1,-0.01826384319017861,0.01826384319017861,-0.19015373469453745,0.19015373469453745
TMEM233,-0.018220715890713775,0.018220715890713775,-0.1837752545571665,0.1837752545571665
EXO5,-0.01818075913051882,0.01818075913051882,-0.24305673622392165,0.24305673622392165
PARK7,-0.01817070464472695,0.01817070464472695,-0.18001724913416492,0.18001724913416492
HOTAIR,-0.018113741707553217,0.018113741707553217,-0.18095865842052442,0.18095865842052442
SULT1A1,-0.018103876620035726,0.018103876620035726,-0.2044527075573146,0.2044527075573146
