Feature,LR_Coefficient,LR_Abs,RF_Importance
ONECUT2,-0.05308050550989244,0.05308050550989244,0.0002020499539922403
CFAP69,0.05307971129522917,0.05307971129522917,0.0031788186401434356
HNRNPA1P50,-0.05298869005307971,0.05298869005307971,0.0006819635720972731
GSTT2,-0.052986405532682385,0.052986405532682385,0.00028811283450164306
ARPC3P2,-0.05282572509482591,0.05282572509482591,0.0008640222281930911
C1QL2,-0.05273704142235244,0.05273704142235244,0.003823766947305919
TMEM233,-0.0526845317717266,0.0526845317717266,0.00018065421380338475
RPS23P1,0.0524783668074881,0.0524783668074881,9.496128648004748e-05
CERCAM,-0.05235095067975452,0.05235095067975452,0.0005242587357734369
ATP6V1G2,-0.052331117958828006,0.052331117958828006,0.0015704916358279032
AC005730.2,0.05213483334236741,0.05213483334236741,0.0006512204759474437
AL357075.3,-0.05201836288523007,0.05201836288523007,0.0
RNU6-216P,-0.05196924317267016,0.05196924317267016,0.00022794662713120783
VEGFB,0.051859106026352304,0.051859106026352304,0.0
ATP2B1,-0.05164838360869165,0.05164838360869165,0.0016803551956631828
AC068338.2,-0.05160693327188491,0.05160693327188491,0.0006664195251492106
RUFY2,-0.051606417628703743,0.051606417628703743,0.0015764883884901882
EBLN3P,-0.0515298492702683,0.0515298492702683,0.000597533677671398
RABIF,-0.05151960072403882,0.05151960072403882,0.0013682117973553179
TMEM88,0.05149452339588471,0.05149452339588471,0.00020539461528811093
POM121L9P,-0.05140124390604071,0.05140124390604071,0.0
GTF2IP4,0.051158068424425655,0.051158068424425655,0.0
RPS3AP21,-0.0509496255390815,0.0509496255390815,0.004164787823207495
RAC1P4,0.05090360246107531,0.05090360246107531,0.0005399861584562739
DTHD1,0.05088340743135648,0.05088340743135648,0.0035964852153811335
H2AW,0.05086181568015961,0.05086181568015961,0.0014416020479289685
AC097359.1,-0.050759952450828344,0.050759952450828344,0.0003779110455689457
ZFX,-0.050649895619312595,0.050649895619312595,0.0008246431794080758
