Feature,Coefficient,Importance
LOXL1,-0.01329359380036677,0.01329359380036677
RRM2P3,0.01319055159484082,0.01319055159484082
PARK7,-0.013141874705594412,0.013141874705594412
FERMT1,0.01293881732589546,0.01293881732589546
AL589880.1,0.012936157173778797,0.012936157173778797
ARL2BP,0.012761652419310598,0.012761652419310598
POM121L9P,-0.012722038281999503,0.012722038281999503
AL603839.3,-0.012638750478289728,0.012638750478289728
CCT6P2,0.01247514121741164,0.01247514121741164
BHLHE22,-0.012407470431890543,0.012407470431890543
AC005520.4,-0.012405487610075542,0.012405487610075542
AC004522.5,-0.012304133199389684,0.012304133199389684
ADGRG6,0.012212655638383113,0.012212655638383113
AP000254.1,0.01221235144110185,0.01221235144110185
SEPTIN4,-0.012207627590086369,0.012207627590086369
CACNG5,-0.012195928823108418,0.012195928823108418
RNU4-62P,-0.012133686381477727,0.012133686381477727
RNU6-882P,-0.012076344734575964,0.012076344734575964
MIR3193,0.012074900450478236,0.012074900450478236
AL357075.3,0.012071309781117923,0.012071309781117923
RN7SL1,-0.012042996085341158,0.012042996085341158
MSC,-0.011952846221203297,0.011952846221203297
ZBBX,0.011951687787680383,0.011951687787680383
GFAP,-0.011871855278702902,0.011871855278702902
H3C12,0.011806095323716303,0.011806095323716303
PTPRN,0.011775359747281016,0.011775359747281016
NEK5,0.011671242173735757,0.011671242173735757
AC084036.1,-0.011666072291283884,0.011666072291283884
NBPF2P,0.011618366957158465,0.011618366957158465
AL445307.1,-0.011595466365273309,0.011595466365273309
UBE2QL1,-0.011576391754394271,0.011576391754394271
SEC11C,-0.011558906552157425,0.011558906552157425
SMURF2P1,0.011511193495557195,0.011511193495557195
AL159169.1,0.01150123750060726,0.01150123750060726
ADCY2,-0.011466636700861581,0.011466636700861581
NSA2P7,-0.011412279579949867,0.011412279579949867
MT-TL1,0.01138866456835033,0.01138866456835033
SNORD91B,-0.011196824217386355,0.011196824217386355
AL161935.2,-0.01116165456876779,0.01116165456876779
TENM2,-0.011120061226828439,0.011120061226828439
TMEM132C,-0.01110134529967537,0.01110134529967537
RWDD2B,0.011018237262394651,0.011018237262394651
RPL10P3,0.010997468931992526,0.010997468931992526
RN7SL368P,-0.010984303855637038,0.010984303855637038
MXRA8,-0.010964384963847188,0.010964384963847188
RARA,-0.010939028957019663,0.010939028957019663
MDFIC,0.010929339525247212,0.010929339525247212
NBR2,-0.010928407957661044,0.010928407957661044
AL135786.1,0.010904697917580721,0.010904697917580721
RN7SL752P,-0.010900555122147972,0.010900555122147972
