Feature,Coefficient_full_dataset,Abs_Coefficient_full_dataset,Coefficient_filtered_dataset,Abs_Coefficient_filtered_dataset
MIR4653,-0.0662171086372134,0.0662171086372134,-0.03700382053431473,0.03700382053431473
MRPS6,-0.06621331186814673,0.06621331186814673,-0.021794966442651786,0.021794966442651786
SEC61G-DT,-0.06620524060320372,0.06620524060320372,-0.023278976581265265,0.023278976581265265
HSP90B1,0.06615925290329143,0.06615925290329143,0.017614236647980806,0.017614236647980806
VWC2L,-0.0661007035130469,0.0661007035130469,0.010601956432859763,0.010601956432859763
MACROH2A1,-0.06588610203530641,0.06588610203530641,-0.0009631620610984257,0.0009631620610984257
AC002056.1,0.0657658262039444,0.0657658262039444,0.04154977996582431,0.04154977996582431
TRNP1,-0.06571437631385943,0.06571437631385943,0.028560903986219473,0.028560903986219473
HLA-DPA3,0.06554354111724407,0.06554354111724407,0.0021887961749059576,0.0021887961749059576
GLTP,0.06549241579809892,0.06549241579809892,0.06958846225578776,0.06958846225578776
NIT1,-0.06504157925285643,0.06504157925285643,-0.02817164489108871,0.02817164489108871
PSMA1,-0.06490348687420391,0.06490348687420391,-0.050983159179971885,0.050983159179971885
ZNF622,0.06474697960938329,0.06474697960938329,0.011577787038462063,0.011577787038462063
TMED5,0.0647419356695528,0.0647419356695528,-0.002343303060092564,0.002343303060092564
NSA2P7,-0.06468941951361941,0.06468941951361941,0.041605515583411856,0.041605515583411856
RETREG3,0.0646877690403479,0.0646877690403479,0.040538564959040894,0.040538564959040894
MT-CO2,0.06452699721705707,0.06452699721705707,0.021297471140843512,0.021297471140843512
SBDS,0.06424595210416434,0.06424595210416434,0.02697926904450357,0.02697926904450357
ZNF432,-0.064090458860019,0.064090458860019,-0.04668285892409853,0.04668285892409853
RCCD1,-0.06393183812412653,0.06393183812412653,0.005512958238055916,0.005512958238055916
TALDO1,-0.06376074622554798,0.06376074622554798,-0.014351084670330992,0.014351084670330992
MIR6746,0.06326545421978685,0.06326545421978685,0.011625999910485208,0.011625999910485208
FSTL3,0.06315901359158559,0.06315901359158559,0.043765361159992626,0.043765361159992626
TK1,0.06304124497784973,0.06304124497784973,0.024686989905300945,0.024686989905300945
PRICKLE1,0.06302331582756066,0.06302331582756066,0.014355371156974408,0.014355371156974408
ORC2,-0.06276470555188493,0.06276470555188493,-0.0216184816880227,0.0216184816880227
NSUN5,0.06276094347454311,0.06276094347454311,0.00862041839576188,0.00862041839576188
NTN5,0.06227894813617495,0.06227894813617495,0.02293096232816322,0.02293096232816322
ULBP2,0.06214115925799767,0.06214115925799767,0.07749677248206467,0.07749677248206467
MT1P3,-0.06192097537306109,0.06192097537306109,-0.01228924867703802,0.01228924867703802
IFNAR2,-0.06175826156739631,0.06175826156739631,-0.011140053817169631,0.011140053817169631
