Feature,Coefficient,Abs_Coefficient
MMP3,-0.013843291717062348,0.013843291717062348
AC006249.1,0.013837479437539218,0.013837479437539218
AP001189.3,-0.013836123813774758,0.013836123813774758
PPIAP74,0.013835973386004634,0.013835973386004634
LINC01842,0.013833085038244113,0.013833085038244113
AC011407.1,0.01383246863270468,0.01383246863270468
PRR15,0.013825634833409029,0.013825634833409029
DUSP18,-0.013814455270934813,0.013814455270934813
HCAR2,-0.013806007823997983,0.013806007823997983
TMSB4Y,-0.013803060292774175,0.013803060292774175
RNVU1-7,-0.013794800518678287,0.013794800518678287
PPIAP4,-0.01379357811128512,0.01379357811128512
TRIM58,0.013790989195702331,0.013790989195702331
AC005632.3,-0.013790459066848556,0.013790459066848556
PDLIM4,0.01377871006572253,0.01377871006572253
ZBED9,0.013768277144773031,0.013768277144773031
MIR4489,-0.013765905118036196,0.013765905118036196
AC126389.1,0.013754043728948926,0.013754043728948926
NDUFV3,0.013750143662600092,0.013750143662600092
RNU6-1262P,0.01374367233714518,0.01374367233714518
MAPK8IP1P2,-0.013741774271129168,0.013741774271129168
AC027644.1,-0.013719562165886826,0.013719562165886826
MIR4502,-0.01370435750578013,0.01370435750578013
AC127502.2,-0.013693001690740418,0.013693001690740418
ZBTB3,0.013687655361028147,0.013687655361028147
CYP51A1,-0.013680385156724538,0.013680385156724538
RNU6-574P,0.01367299758873115,0.01367299758873115
GRIK1,-0.013664051026327406,0.013664051026327406
RNVU1-28,-0.013662672772225586,0.013662672772225586
STEAP1B,-0.01365992564726927,0.01365992564726927
SNORD1B,0.013636053660935897,0.013636053660935897
RNU6V,0.013609873421390205,0.013609873421390205
ANOS2P,-0.013602602376844375,0.013602602376844375
ERICH2,-0.013598294635678559,0.013598294635678559
ST13P3,-0.013598023040358656,0.013598023040358656
AC137561.1,0.01357282974504473,0.01357282974504473
ZNF844,0.013571667062068457,0.013571667062068457
CWF19L2,0.01354878106034046,0.01354878106034046
EBF2,-0.013545765798255309,0.013545765798255309
RNU6-1091P,-0.013538579369481,0.013538579369481
AC010280.2,-0.013524217289922985,0.013524217289922985
GREB1L,-0.013519501006755736,0.013519501006755736
AC005550.1,-0.013518966695883766,0.013518966695883766
RPS12P4,0.01351345593027701,0.01351345593027701
THAP5P1,0.01351106501673935,0.01351106501673935
ZNF385C,0.013507830623618265,0.013507830623618265
AC110015.1,0.013502866083004078,0.013502866083004078
ZNF575,-0.01348371183490155,0.01348371183490155
RPS26P38,-0.013463822326667107,0.013463822326667107
AC135279.2,0.01346105544466814,0.01346105544466814
AC095031.1,-0.013451991309126006,0.013451991309126006
OTUB1,0.013448875239961033,0.013448875239961033
HMGN1P37,-0.013429524079932677,0.013429524079932677
RNU6-564P,0.01341819966183081,0.01341819966183081
RNU5F-1,0.013417609570236577,0.013417609570236577
EXOSC9,0.013401086014540674,0.013401086014540674
